City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Parati,BR,74.44,light rain,-23.2178,-44.7131,Che Lagarto Paraty
487,Omboue,GA,76.62,overcast clouds,-1.5746,9.2618,Hotel Olako
492,Bubaque,GW,77.07,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
493,Lehigh Acres,US,66.15,clear sky,26.6254,-81.6248,Lehigh Resort Club
499,Cockburn Town,TC,78.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
501,Piranhas,BR,70.11,overcast clouds,-16.4269,-51.8222,Planalto Hotel
504,Huarmey,PE,70.38,overcast clouds,-10.0681,-78.1522,Hotel Miramar
506,Saint-Leu,RE,77.58,clear sky,-21.15,55.2833,La Caz Oceane
517,Santiago Del Estero,AR,69.19,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
519,Oron,NG,74.89,overcast clouds,4.8256,8.2343,Aqua Belloni Lodge
520,Pirenopolis,BR,70.29,overcast clouds,-15.8525,-48.9592,Hotel Pousada Mandala
527,Camana,PE,69.69,scattered clouds,-16.6228,-72.7111,Hostal Morales
534,Zacatepec,MX,78.42,few clouds,18.65,-99.2,Villas El Paraíso
540,Muisne,EC,74.48,light rain,0.6,-80.0333,Quinta Samay
542,Gilbues,BR,69.75,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
544,Hukuntsi,BW,70.36,clear sky,-24.0,21.75,Entabeni Hotel
549,Nova Olimpia,BR,73.26,overcast clouds,-14.7972,-57.2881,Motel glamour
557,Bani,DO,69.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
562,Marsh Harbour,BS,73.58,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
565,Ciudad Bolivar,VE,75.76,scattered clouds,8.1222,-63.5497,Hotel Edi
569,Conceicao Do Araguaia,BR,70.97,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
570,Sinnamary,GF,75.02,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
572,Sola,VU,77.67,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
574,Mayumba,GA,75.34,overcast clouds,-3.432,10.6554,LIKWALE LODGE
575,Linhares,BR,72.19,scattered clouds,-19.3911,-40.0722,Hotel Conceição
584,Tabou,CI,78.53,broken clouds,4.423,-7.3528,hotêl doufoulougou
586,Abu Dhabi,AE,66.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
589,Mancio Lima,BR,74.93,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
590,Pokaran,IN,65.34,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
591,Edea,CM,74.98,overcast clouds,3.8,10.1333,Micotel Hotel
595,Banamba,ML,69.48,scattered clouds,13.55,-7.45,Kassela de Banamba
597,Atar,MR,69.62,overcast clouds,20.5169,-13.0499,Oumou Elghoura
601,La Romana,DO,73.13,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
602,Banikoara,BJ,70.88,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
609,Rosario Oeste,BR,73.51,moderate rain,-14.8361,-56.4275,Alvorada Palace accomodation
615,Lima,PE,70.9,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
616,Mococa,BR,67.35,light rain,-21.4678,-47.0047,Hospedaria Sonhar
617,Rio Grande,BR,68.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
618,Tezu,IN,66.2,clear sky,27.9167,96.1667,Circuit House
623,Coruripe,BR,78.19,moderate rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
628,Barra Do Bugres,BR,73.27,overcast clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
634,Bariadi,TZ,65.84,overcast clouds,-2.8,33.9833,Similas Guest House and Bar
636,Dong Hoi,VN,77.05,scattered clouds,17.4833,106.6,Nam Long Hotel
642,Micoud,LC,75.13,broken clouds,13.8167,-60.9,Zamacà
644,Antofagasta,CL,65.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
